"WHD010.Code.or.Value","WHD010.Value.Description","WHD010.Count","WHD010.Cumulative","WHD010.Skip.to.Item"
"49 to 82","Range of Values",5977,5977,NA
"7777","Refused",1,5978,NA
"9999","Don't know",128,6106,NA
".","Missing",55,6161,NA
