"DXXPT20X.Code.or.Value","DXXPT20X.Value.Description","DXXPT20X.Count","DXXPT20X.Cumulative","DXXPT20X.Skip.to.Item"
"705.7 to 1240.1","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
