"RFXC087.Code.or.Value","RFXC087.Value.Description","RFXC087.Count","RFXC087.Cumulative","RFXC087.Skip.to.Item"
"-7.686 to 5.115","Range of Values",33694,33694,NA
".","Missing",27,33721,NA
