"PUD033.Code.or.Value","PUD033.Value.Description","PUD033.Count","PUD033.Cumulative","PUD033.Skip.to.Item"
"1","Yes",848,848,""
"2","No",1103,1951,"PUD041"
".","Missing",8171,10122,""
