"URDDUPLC.Code.or.Value","URDDUPLC.Value.Description","URDDUPLC.Count","URDDUPLC.Cumulative","URDDUPLC.Skip.to.Item"
"0","At or above the detection limit",1482,1482,NA
"1","Below lower detection limit",1317,2799,NA
".","Missing",187,2986,NA
