"LBX028.Code.or.Value","LBX028.Value.Description","LBX028.Count","LBX028.Cumulative","LBX028.Skip.to.Item"
"0.0076 to 1.4459","Range of Values",1866,1866,NA
".","Missing",419,2285,NA
