"DRXIP226.Code.or.Value","DRXIP226.Value.Description","DRXIP226.Count","DRXIP226.Cumulative","DRXIP226.Skip.to.Item"
"0 to 4.287","Range of Values",141931,141931,NA
".","Missing",1073,143004,NA
