"WTSPH01.Code.or.Value","WTSPH01.Value.Description","WTSPH01.Count","WTSPH01.Cumulative","WTSPH01.Skip.to.Item"
"0 to 765268.18045","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
