"OSQ090g.Code.or.Value","OSQ090g.Value.Description","OSQ090g.Count","OSQ090g.Cumulative","OSQ090g.Skip.to.Item"
"1","Yes",12,12,NA
"2","No",0,12,NA
"7","Refused",0,12,NA
"9","Don't know",0,12,NA
".","Missing",3057,3069,NA
