"URXAAZ.Code.or.Value","URXAAZ.Value.Description","URXAAZ.Count","URXAAZ.Cumulative","URXAAZ.Skip.to.Item"
"0.3536","0.3536",2588,2588,NA
".","Missing",106,2694,NA
