"LBXBR9LA.Code.or.Value","LBXBR9LA.Value.Description","LBXBR9LA.Count","LBXBR9LA.Cumulative","LBXBR9LA.Skip.to.Item"
"0.1 to 21.1","Range of Values",1993,1993,NA
".","Missing",344,2337,NA
