"CIQP36.Code.or.Value","CIQP36.Value.Description","CIQP36.Count","CIQP36.Cumulative","CIQP36.Skip.to.Item"
"0 to 799","Range of Values",29,29,NA
"900","900 +",1,30,NA
"7777","Refused",0,30,NA
"9999","Don't know",0,30,NA
".","Missing",820,850,NA
