"FSQ235.Code.or.Value","FSQ235.Value.Description","FSQ235.Count","FSQ235.Cumulative","FSQ235.Skip.to.Item"
"10 to 1397","Range of Values",2787,2787,NA
"77777","Refused",24,2811,NA
"99999","Don't know",66,2877,NA
".","Missing",7298,10175,NA
