"DRD370R.Code.or.Value","DRD370R.Value.Description","DRD370R.Count","DRD370R.Cumulative","DRD370R.Skip.to.Item"
"1","Yes",132,132,""
"2","No",4206,4338,"DRD370S"
".","Missing",4366,8704,""
