"AUDTYL49.Code.or.Value","AUDTYL49.Value.Description","AUDTYL49.Count","AUDTYL49.Cumulative","AUDTYL49.Skip.to.Item"
"0 to 3.94","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
