"DRQ370MQ.Code.or.Value","DRQ370MQ.Value.Description","DRQ370MQ.Count","DRQ370MQ.Cumulative","DRQ370MQ.Skip.to.Item"
"1 to 44","Range of Values",831,831,NA
".","Missing",8451,9282,NA
