"ARQ021BF.Code.or.Value","ARQ021BF.Value.Description","ARQ021BF.Count","ARQ021BF.Cumulative","ARQ021BF.Skip.to.Item"
"2","aching,",134,134,NA
".","Missing",4972,5106,NA
