"DXXPT88X.Code.or.Value","DXXPT88X.Value.Description","DXXPT88X.Count","DXXPT88X.Cumulative","DXXPT88X.Skip.to.Item"
"662.2 to 1197.3","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
