"URDUMA2S.Code.or.Value","URDUMA2S.Value.Description","URDUMA2S.Count","URDUMA2S.Cumulative","URDUMA2S.Skip.to.Item"
"0.21 to 3730","Range of Values",7361,7361,NA
".","Missing",1230,8591,NA
