"DBD410.Code.or.Value","DBD410.Value.Description","DBD410.Count","DBD410.Cumulative","DBD410.Skip.to.Item"
"1 to 5","Range of Values",1166,1166,""
"0","None",1335,2501,"End of Section"
"7777","Refused",0,2501,"End of Section"
"9999","Don't know",7,2508,"End of Section"
".","Missing",7457,9965,""
