"BMXTHICR.Code.or.Value","BMXTHICR.Value.Description","BMXTHICR.Count","BMXTHICR.Cumulative","BMXTHICR.Skip.to.Item"
"28.3 to 93.9","Range of Values",7295,7295,NA
".","Missing",2655,9950,NA
