"RFXC055.Code.or.Value","RFXC055.Value.Description","RFXC055.Count","RFXC055.Cumulative","RFXC055.Skip.to.Item"
"-8.174 to 5.266","Range of Values",33702,33702,NA
".","Missing",19,33721,NA
