"BMIWAIST.Code.or.Value","BMIWAIST.Value.Description","BMIWAIST.Count","BMIWAIST.Cumulative","BMIWAIST.Skip.to.Item"
"1","Could not obtain",437,437,NA
".","Missing",8267,8704,NA
