"RFXC038.Code.or.Value","RFXC038.Value.Description","RFXC038.Count","RFXC038.Cumulative","RFXC038.Skip.to.Item"
"-7.475 to 5.302","Range of Values",33704,33704,NA
".","Missing",17,33721,NA
