"URXTBBA.Code.or.Value","URXTBBA.Value.Description","URXTBBA.Count","URXTBBA.Cumulative","URXTBBA.Skip.to.Item"
"0.0354 to 1.36","Range of Values",2805,2805,NA
".","Missing",181,2986,NA
