"OHAEXSTS.Code.or.Value","OHAEXSTS.Value.Description","OHAEXSTS.Count","OHAEXSTS.Cumulative","OHAEXSTS.Skip.to.Item"
"1","Complete",7647,7647,NA
"2","Partial",8,7655,NA
"3","Not Done",656,8311,NA
".","Missing",0,8311,NA
