"RFXC123.Code.or.Value","RFXC123.Value.Description","RFXC123.Count","RFXC123.Cumulative","RFXC123.Skip.to.Item"
"-3.833 to 5.4","Range of Values",33683,33683,NA
".","Missing",38,33721,NA
