"LBXQD1.Code.or.Value","LBXQD1.Value.Description","LBXQD1.Count","LBXQD1.Cumulative","LBXQD1.Skip.to.Item"
"1","Sensitive",254,254,NA
"2","Resistant",0,254,NA
"3","Intermediate",0,254,NA
"4","No Result",116,370,NA
".","Missing",8809,9179,NA
