"CIQG33.Code.or.Value","CIQG33.Value.Description","CIQG33.Count","CIQG33.Cumulative","CIQG33.Skip.to.Item"
"0 to 200","Range of Values",60,60,NA
"777","Refused",0,60,NA
"999","Don't know",0,60,NA
".","Missing",790,850,NA
