"SMD720.Code.or.Value","SMD720.Value.Description","SMD720.Count","SMD720.Cumulative","SMD720.Skip.to.Item"
"1 to 70","Range of Values",1180,1180,NA
"777","Refused",0,1180,NA
"999","Don't know",0,1180,NA
".","Missing",5578,6758,NA
