"WTANA2YR.Code.or.Value","WTANA2YR.Value.Description","WTANA2YR.Count","WTANA2YR.Cumulative","WTANA2YR.Skip.to.Item"
"8179.886005 to 226739.66109","Range of Values",182,182,NA
".","Missing",0,182,NA
