"DXXPT3Y.Code.or.Value","DXXPT3Y.Value.Description","DXXPT3Y.Count","DXXPT3Y.Cumulative","DXXPT3Y.Skip.to.Item"
"185.7 to 430.5","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
