"SSSPIKE.Code.or.Value","SSSPIKE.Value.Description","SSSPIKE.Count","SSSPIKE.Cumulative","SSSPIKE.Skip.to.Item"
"0 to 2.8","Range of Values",127,127,NA
".","Missing",1962,2089,NA
