"SSDFSR.Code.or.Value","SSDFSR.Value.Description","SSDFSR.Count","SSDFSR.Cumulative","SSDFSR.Skip.to.Item"
"0","Negative",48,48,NA
"1","Postive",134,182,NA
".","Missing",0,182,NA
