"DXXAL3AN.Code.or.Value","DXXAL3AN.Value.Description","DXXAL3AN.Count","DXXAL3AN.Cumulative","DXXAL3AN.Skip.to.Item"
"0 to 3","Range of Values",3157,3157,NA
".","Missing",551,3708,NA
