"WTSPP42.Code.or.Value","WTSPP42.Value.Description","WTSPP42.Count","WTSPP42.Cumulative","WTSPP42.Skip.to.Item"
"0 to 824716.61144","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
