"LBDLNALC.Code.or.Value","LBDLNALC.Value.Description","LBDLNALC.Count","LBDLNALC.Cumulative","LBDLNALC.Skip.to.Item"
"0","At or above the detection limit",4407,4407,NA
"1","Below lower detection limit",0,4407,NA
".","Missing",1236,5643,NA
