"VTQ140.Code.or.Value","VTQ140.Value.Description","VTQ140.Count","VTQ140.Cumulative","VTQ140.Skip.to.Item"
"1","Yes",49,49,NA
"2","No",600,649,NA
"7","Refused",0,649,NA
"9","Don't know",0,649,NA
".","Missing",202,851,NA
