"OSQ030cf.Code.or.Value","OSQ030cf.Value.Description","OSQ030cf.Count","OSQ030cf.Cumulative","OSQ030cf.Skip.to.Item"
"76","76",1,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",5410,5411,NA
