"OPXSQUAL.Code.or.Value","OPXSQUAL.Value.Description","OPXSQUAL.Count","OPXSQUAL.Cumulative","OPXSQUAL.Skip.to.Item"
"0","Excellent",63,63,NA
"1","Good",261,324,NA
"2","Fair",71,395,NA
"3","Poor",12,407,NA
"4","Ungradable",7,414,NA
".","Missing",3449,3863,NA
