"CIQG38.Code.or.Value","CIQG38.Value.Description","CIQG38.Count","CIQG38.Cumulative","CIQG38.Skip.to.Item"
"0 to 28","Range of Values",40,40,NA
"77","Refused",0,40,NA
"99","Don't know",0,40,NA
".","Missing",810,850,NA
