"SSNFSPOS.Code.or.Value","SSNFSPOS.Value.Description","SSNFSPOS.Count","SSNFSPOS.Cumulative","SSNFSPOS.Skip.to.Item"
"0 to 1","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
