"SMD100TR.Code.or.Value","SMD100TR.Value.Description","SMD100TR.Count","SMD100TR.Cumulative","SMD100TR.Skip.to.Item"
"6 to 19","Range of Values",695,695,NA
".","Missing",6029,6724,NA
