"TYXP151.Code.or.Value","TYXP151.Value.Description","TYXP151.Count","TYXP151.Cumulative","TYXP151.Skip.to.Item"
"-291 to 122","Range of Values",2986,2986,NA
".","Missing",2599,5585,NA
