"PFQ061L.Code.or.Value","PFQ061L.Value.Description","PFQ061L.Count","PFQ061L.Cumulative","PFQ061L.Skip.to.Item"
"1","No difficulty",2288,2288,NA
"2","Some difficulty",495,2783,NA
"3","Much difficulty",108,2891,NA
"4","Unable to do",24,2915,NA
"5","Do not do this activity",11,2926,NA
"7","Refused",0,2926,NA
"9","Don't know",1,2927,NA
".","Missing",5494,8421,NA
