"OHQ130.Code.or.Value","OHQ130.Value.Description","OHQ130.Count","OHQ130.Cumulative","OHQ130.Skip.to.Item"
"1","Yes",260,260,NA
"2","No",6071,6331,NA
"7","Refused",0,6331,NA
"9","Don't know",7,6338,NA
".","Missing",2249,8587,NA
