"DXXRLLI.Code.or.Value","DXXRLLI.Value.Description","DXXRLLI.Count","DXXRLLI.Cumulative","DXXRLLI.Skip.to.Item"
"2128.8 to 24345.1","Range of Values",3988,3988,NA
".","Missing",1126,5114,NA
