"WTSBA50.Code.or.Value","WTSBA50.Value.Description","WTSBA50.Count","WTSBA50.Cumulative","WTSBA50.Skip.to.Item"
"0 to 360937.2258","Range of Values",946,946,NA
".","Missing",65,1011,NA
