"RIDRAETN.Code.or.Value","RIDRAETN.Value.Description","RIDRAETN.Count","RIDRAETN.Cumulative","RIDRAETN.Skip.to.Item"
"1","Non-Hispanic White",35,35,NA
"2","Non-Hispanic Black",20,55,NA
"3","Mexican American",23,78,NA
".","Missing",0,78,NA
