"OPDUOTHC.Code.or.Value","OPDUOTHC.Value.Description","OPDUOTHC.Count","OPDUOTHC.Cumulative","OPDUOTHC.Skip.to.Item"
"0","No",2977,2977,NA
"1","Questionable",37,3014,NA
"2","Yes",272,3286,NA
"3","Yes, in center",0,3286,NA
".","Missing",577,3863,NA
