"OSQ020c.Code.or.Value","OSQ020c.Value.Description","OSQ020c.Count","OSQ020c.Cumulative","OSQ020c.Skip.to.Item"
"1","1",94,94,NA
"2","2",15,109,NA
"3","3",4,113,NA
"4","4",1,114,NA
"5","5",1,115,NA
"7777","Refused",0,115,NA
"9999","Don't know",1,116,NA
".","Missing",2953,3069,NA
