"AUDTYL40.Code.or.Value","AUDTYL40.Value.Description","AUDTYL40.Count","AUDTYL40.Cumulative","AUDTYL40.Skip.to.Item"
"0 to 4.16","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
