"SSTOXAV.Code.or.Value","SSTOXAV.Value.Description","SSTOXAV.Count","SSTOXAV.Cumulative","SSTOXAV.Skip.to.Item"
"2.9 to 71","Range of Values",48,48,NA
".","Missing",6530,6578,NA
