"WTSPO07.Code.or.Value","WTSPO07.Value.Description","WTSPO07.Count","WTSPO07.Cumulative","WTSPO07.Skip.to.Item"
"0.0000000 to 822448.4347900","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
