"WTMREP43.Code.or.Value","WTMREP43.Value.Description","WTMREP43.Count","WTMREP43.Cumulative","WTMREP43.Skip.to.Item"
"0 to 263992.07035","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
