"TYXA158.Code.or.Value","TYXA158.Value.Description","TYXA158.Count","TYXA158.Cumulative","TYXA158.Skip.to.Item"
"0.09 to 6.406","Range of Values",2527,2527,NA
".","Missing",3058,5585,NA
