"CIQG22.Code.or.Value","CIQG22.Value.Description","CIQG22.Count","CIQG22.Cumulative","CIQG22.Skip.to.Item"
"9 to 39","Range of Values",19,19,NA
"77","Refused",0,19,NA
"99","Don't know",3,22,NA
".","Missing",828,850,NA
