"RFXC153.Code.or.Value","RFXC153.Value.Description","RFXC153.Count","RFXC153.Cumulative","RFXC153.Skip.to.Item"
"-6.93 to 5.998","Range of Values",33672,33672,NA
".","Missing",49,33721,NA
