"WBXA078.Code.or.Value","WBXA078.Value.Description","WBXA078.Count","WBXA078.Cumulative","WBXA078.Skip.to.Item"
"-0.4721 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
