"MCQ260FD.Code.or.Value","MCQ260FD.Value.Description","MCQ260FD.Count","MCQ260FD.Cumulative","MCQ260FD.Skip.to.Item"
"4","Mother's father",102,102,"MCQ250G"
".","Missing",9543,9645,""
