"LBXFER.Code.or.Value","LBXFER.Value.Description","LBXFER.Count","LBXFER.Cumulative","LBXFER.Skip.to.Item"
"1.04 to 5190","Range of Values",6589,6589,NA
".","Missing",743,7332,NA
