"BIXS050K.Code.or.Value","BIXS050K.Value.Description","BIXS050K.Count","BIXS050K.Cumulative","BIXS050K.Skip.to.Item"
"316.05 to 918.76","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
