"RDQ134.Code.or.Value","RDQ134.Value.Description","RDQ134.Count","RDQ134.Cumulative","RDQ134.Skip.to.Item"
"1","Yes",707,707,NA
"2","No",507,1214,NA
"7","Refused",0,1214,NA
"9","Don't know",4,1218,NA
".","Missing",8146,9364,NA
