"BIXS060K.Code.or.Value","BIXS060K.Value.Description","BIXS060K.Count","BIXS060K.Cumulative","BIXS060K.Skip.to.Item"
"309.74 to 909.74","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
